"geno","plate_id","order","pop","long","lat","alt","DOYFS1.9","AvgeSen.9","BaseDiameter.9","DryMatter.9","LeafLength.7","LeafWidth.7","MaxCanopyHeight.9","Moisture.9","StatureCategory.7","StatureLeafAngle.7","StatureStemAngle.7","StemDiameter.9","TallestStem.9","TransectCount.9","Cellulose.8","Hemicellulose.8","Lignin.8"
"Pa-17","Plate1B03",15,"sin1_1",138.664,36.554,700,-9.5e-13,0.775,-50,-217.1827579,3.375,-0.1,-3.75,-1.05688724,2,-1.14e-14,1,-0.125,3.25,1.5,-0.7675,-2.3825,0.025
"Pa-252","Plate1B04",16,"sin1_1",NA,NA,NA,13.25,0.475,-62.5,86.50220688,13,-1.0125,16.25,-6.797473905,-0.5,0.5,-0.5,-0.7,4,1.75,1.1425,-1.235,-0.2875
"Pa-135","Plate1B05",17,"sin1_1",NA,NA,NA,21.25,-0.925,-25,479.8345428,23.375,0.0375,30,-3.757387488,0.125,0.125,1.52e-14,0.9,27,-3.11e-13,1.08,-3.3825,-0.085
"Pa-208","Plate1B06",18,NA,NA,NA,NA,-1.25,1.175,-37.5,-147.7153106,-0.5,-0.225,-3.75,-1.006134088,-0.125,0.375,-0.25,-0.825,-0.5,4.75,-2.1575,-1.4675,0.55
"Pa-224","Plate1B07",19,"sin1_1",140.74,38.4005,1000,28.5,-1.175,12.5,461.9823068,3.125,-0.325,-6.25,4.530166237,1,0.5,0.25,1.125,7.25,6,-0.5,-2.85,0.655
"Pa-75","Plate1B08",20,"sin1_2",128.517,35.5333,400,56.33176209,-1.8,-12.5,-292.1809785,29.625,-0.125,-20,12.20033534,-1.45e-14,-1.13e-14,1.52e-14,0.725,-88,-3.25,-4.6625,-2.8875,-0.0325
"Pa-199","Plate1B09",21,NA,NA,NA,NA,-13,0.6,-12.5,-291.0643414,-4,-0.575,-7.5,-8.911227408,-0.125,0.375,-0.25,-0.775,3.25,3.5,1.42,-0.6575,0.085
"Pa-11","Plate1B10",22,"sin1_1",139.9,38.9107,500,37.25,0.75,-100,127.2031819,13.125,-0.275,-12.5,6.6041059,1.5,-1.12e-14,0.75,0.825,13.25,-8.25,-5.2775,-2.305,1.3175
"Pa-169","Plate1B11",23,"sin1_1",NA,NA,NA,52.5,-0.05,-37.5,567.300333,10.875,0.25,32.5,4.09815339,0.125,0.125,1.52e-14,1.525,41,-4.75,1.515,-3.4675,1.5625
"Pa-37","Plate1B12",24,"sin1_1",132.061,34.772,200,83.25,-2.675,-2.68e-12,1541.39788,46.125,-0.2,12.5,3.772935992,-0.5,-1.12e-14,-0.25,0.5,-22.5,1.25,-2.805,-2.4325,-0.46
"Pa-214","Plate1C01",25,"sin1_1",NA,NA,NA,-3.25,-0.05,-2.69e-12,-104.853554,-4.75,-0.675,-2.36e-12,-3.697970938,0.5,0.5,1.52e-14,-0.925,10.5,2.25,1.78,-3.2625,0.715
"Pa-44","Plate1C02",26,"sin1_1",130.76,32.6697,50,68.75,-1.125,-12.5,1098.635302,30.875,-0.225,42.5,3.996303222,-1.45e-14,-1.13e-14,1.52e-14,0.3,11,-0.25,-3.045,-3.3925,0.1875
"Pa-64","Plate1C03",27,"sin1_2",128.583,37.35,250,50.25,-0.025,-125,-187.6177811,21.375,-0.3625,-42.5,8.0564389,0.25,0.25,1.52e-14,-0.55,-57.5,5.75,-2.4825,-1.93,-0.125
